ArticleId,SiteId,ZoneId,Date,Quantity,Price,CostPrice,ZoneName,SiteName,ArticleName
199219,7,2,2018-07-04,7,89.0,78.77,Supermarket,Pražská,"NORDIC ICE VODKA37,5%0,5L"
199219,5,1,2018-07-04,26,89.0,78.02,Hypermarket,Belgická,"NORDIC ICE VODKA37,5%0,5L"
200838,4,1,2018-07-04,3,95.0,85.53,Hypermarket,Londýnská,"PRAŽSKÁ VODKA 37,5%0,5L"
172551,7,2,2018-07-04,9,90.5,82.29,Supermarket,Pražská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
170936,8,2,2018-07-04,1,39.0,30.06,Supermarket,Plzeňská,ŠPENÁTOVÝ PROTLAK 400G
169281,6,1,2018-07-04,1,21.9,15.31,Hypermarket,Vídeňská,MAGGI ASIA 118G INDIE SMAŽ.NUD
172671,4,1,2018-07-04,1,19.9,10.97,Hypermarket,Londýnská,GNOCCHI 40% 500G SPINACI
199219,8,2,2018-07-04,12,89.0,78.77,Supermarket,Plzeňská,"NORDIC ICE VODKA37,5%0,5L"
170295,4,1,2018-07-04,5,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
170936,7,2,2018-07-04,5,39.0,30.06,Supermarket,Pražská,ŠPENÁTOVÝ PROTLAK 400G
176139,7,2,2018-07-04,9,197.0,142.0,Supermarket,Pražská,"HRANOLKY B"" 1KG"""
167108,6,1,2018-07-04,4,26.9,18.58,Hypermarket,Vídeňská,GRANINI NEKT.1l HRUŠKA 50%
172551,4,1,2018-07-04,33,90.5,81.84,Hypermarket,Londýnská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
200838,7,2,2018-07-04,2,95.0,81.7,Supermarket,Pražská,"PRAŽSKÁ VODKA 37,5%0,5L"
174022,4,1,2018-07-04,24,239.0,190.0,Hypermarket,Londýnská,"JÄGERMEISTER 35%  0,7L"
165811,4,1,2018-07-04,24,21.9,15.75,Hypermarket,Londýnská,JČ SMETANA KE ŠL.33% 250ML
170936,4,1,2018-07-04,11,39.0,30.06,Hypermarket,Londýnská,ŠPENÁTOVÝ PROTLAK 400G
200838,5,1,2018-07-04,1,95.0,85.53,Hypermarket,Belgická,"PRAŽSKÁ VODKA 37,5%0,5L"
169281,4,1,2018-07-04,2,21.9,15.31,Hypermarket,Londýnská,MAGGI ASIA 118G INDIE SMAŽ.NUD
172671,7,2,2018-07-04,2,19.9,10.98,Supermarket,Pražská,GNOCCHI 40% 500G SPINACI
165811,6,1,2018-07-04,18,21.9,15.75,Hypermarket,Vídeňská,JČ SMETANA KE ŠL.33% 250ML
165811,7,2,2018-07-04,12,21.9,15.75,Supermarket,Pražská,JČ SMETANA KE ŠL.33% 250ML
174022,7,2,2018-07-04,16,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
174022,8,2,2018-07-04,3,239.0,191.9,Supermarket,Plzeňská,"JÄGERMEISTER 35%  0,7L"
170295,5,1,2018-07-04,1,24.5,15.78,Hypermarket,Belgická,BERLINKI 250G
170936,5,1,2018-07-04,13,39.0,30.06,Hypermarket,Belgická,ŠPENÁTOVÝ PROTLAK 400G
170295,6,1,2018-07-04,17,24.5,15.78,Hypermarket,Vídeňská,BERLINKI 250G
170936,6,1,2018-07-04,8,39.0,30.06,Hypermarket,Vídeňská,ŠPENÁTOVÝ PROTLAK 400G
199219,7,2,2018-07-05,9,89.0,78.77,Supermarket,Pražská,"NORDIC ICE VODKA37,5%0,5L"
171979,7,2,2018-07-05,1,42.6,28.11,Supermarket,Pražská,POMAZÁNKA 120G VAJÍČKOVÁ
170936,5,1,2018-07-05,3,39.0,30.06,Hypermarket,Belgická,ŠPENÁTOVÝ PROTLAK 400G
174022,7,2,2018-07-05,6,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
170069,8,2,2018-07-05,2,59.9,43.51,Supermarket,Plzeňská,JACOBS PORCE CAF.LATTÉ 250G
170069,5,1,2018-07-05,6,59.9,42.34,Hypermarket,Belgická,JACOBS PORCE CAF.LATTÉ 250G
165954,6,1,2018-07-05,4,8.7,5.87,Hypermarket,Vídeňská,LIPÁNEK UHT MLÉKO 250ML KAK
167108,7,2,2018-07-05,5,26.9,18.58,Supermarket,Pražská,GRANINI NEKT.1l HRUŠKA 50%
